# x y u(x,y) v(x,y)
-0.98 -0.31 0.0784779 5.96577e-05
-0.98 -0.3 0.081478 6.23747e-05
-0.98 -0.29 0.0843781 6.50294e-05
-0.98 -0.28 0.0871783 6.76191e-05
-0.98 -0.27 0.0898784 7.01413e-05
-0.98 -0.26 0.0924786 7.25936e-05
-0.98 -0.25 0.0949787 7.49736e-05
-0.98 -0.24 0.0973789 7.7279e-05
-0.98 -0.23 0.099679 7.95076e-05
-0.98 -0.22 0.101879 8.16571e-05
-0.98 -0.21 0.103979 8.37255e-05
-0.98 -0.2 0.10598 8.57108e-05
-0.98 -0.19 0.10788 8.7611e-05
-0.98 -0.18 0.10968 8.94244e-05
-0.98 -0.17 0.11138 9.11491e-05
-0.98 -0.16 0.11298 9.27834e-05
-0.98 -0.15 0.11448 9.43259e-05
-0.98 -0.14 0.115881 9.57749e-05
-0.98 -0.13 0.117181 9.71292e-05
-0.98 -0.12 0.118381 9.83873e-05
-0.98 -0.11 0.119481 9.9548e-05
-0.98 -0.1 0.120481 0.00010061
-0.98 -0.09 0.121382 0.000101573
-0.98 -0.08 0.122182 0.000102436
-0.98 -0.07 0.122882 0.000103197
-0.98 -0.06 0.123482 0.000103856
-0.98 -0.05 0.123982 0.000104413
-0.98 -0.04 0.124383 0.000104866
-0.98 -0.03 0.124683 0.000105216
-0.98 -0.02 0.124883 0.000105462
-0.98 -0.01 0.124983 0.000105604
-0.98 0 0.124983 0.000105641
-0.98 0.01 0.124884 0.000105575
-0.98 0.02 0.124684 0.000105404
-0.98 0.03 0.124384 0.000105129
-0.98 0.04 0.123984 0.000104751
-0.98 0.05 0.123485 0.000104269
-0.98 0.06 0.122885 0.000103685
-0.98 0.07 0.122185 0.000102998
-0.98 0.08 0.121385 0.00010221
-0.98 0.09 0.120485 0.000101321
-0.98 0.1 0.119486 0.000100333
-0.98 0.11 0.118386 9.92452e-05
-0.98 0.12 0.117186 9.806e-05
-0.98 0.13 0.115886 9.67783e-05
-0.98 0.14 0.114486 9.54014e-05
-0.98 0.15 0.112986 9.39306e-05
-0.98 0.16 0.111387 9.23675e-05
-0.98 0.17 0.109687 9.07135e-05
-0.98 0.18 0.107887 8.89704e-05
-0.98 0.19 0.105987 8.71399e-05
-0.98 0.2 0.103987 8.52239e-05
-0.98 0.21 0.101888 8.32242e-05
-0.98 0.22 0.0996877 8.11428e-05
-0.98 0.23 0.0973878 7.89819e-05
-0.98 0.24 0.094988 7.67436e-05
-0.98 0.25 0.0924881 7.44301e-05
-0.98 0.26 0.0898883 7.20437e-05
-0.98 0.27 0.0871884 6.9587e-05
-0.98 0.28 0.0843885 6.70622e-05
-0.98 0.29 0.0814886 6.44719e-05
-0.98 0.3 0.0784888 6.18188e-05
-0.98 0.31 0.0753889 5.91054e-05
-0.98 0.32 0.072189 5.63345e-05
-0.98 0.33 0.0688891 5.35089e-05
-0.98 0.34 0.0654892 5.06314e-05
-0.98 0.35 0.0619893 4.77048e-05
-0.98 0.36 0.0583894 4.47321e-05
-0.98 0.37 0.0546895 4.17162e-05
-0.98 0.38 0.0508895 3.86603e-05
-0.98 0.39 0.0469896 3.55672e-05
-0.98 0.4 0.0429897 3.24402e-05
-0.98 0.41 0.0388897 2.92823e-05
-0.98 0.42 0.0346898 2.60966e-05
-0.98 0.43 0.0303898 2.28865e-05
-0.98 0.44 0.0259898 1.9655e-05
-0.98 0.45 0.0214899 1.64055e-05
-0.98 0.46 0.0168899 1.3141e-05
-0.98 0.47 0.0121899 9.865e-06
-0.98 0.48 0.00738992 6.58063e-06
-0.98 0.49 0.00248992 3.29121e-06

-0.97 -0.5 0.00247329 -0
-0.97 -0.49 0.0073733 3.34255e-06
-0.97 -0.48 0.0121733 6.68033e-06
-0.97 -0.47 0.0168734 1.00101e-05
-0.97 -0.46 0.0214734 1.33286e-05
-0.97 -0.45 0.0259735 1.66325e-05
-0.97 -0.44 0.0303735 1.99187e-05
-0.97 -0.43 0.0346736 2.31839e-05
-0.97 -0.42 0.0388737 2.6425e-05
-0.97 -0.41 0.0429738 2.96387e-05
-0.97 -0.4 0.0469739 3.2822e-05
-0.97 -0.39 0.050874 3.59718e-05
-0.97 -0.38 0.0546741 3.90849e-05
-0.97 -0.37 0.0583742 4.21583e-05
-0.97 -0.36 0.0619744 4.5189e-05
-0.97 -0.35 0.0654745 4.81742e-05
-0.97 -0.34 0.0688747 5.11108e-05
-0.97 -0.33 0.0721748 5.3996e-05
-0.97 -0.32 0.075375 5.6827e-05
-0.97 -0.31 0.0784752 5.96011e-05
-0.97 -0.3 0.0814754 6.23155e-05
-0.97 -0.29 0.0843756 6.49676e-05
-0.97 -0.28 0.0871758 6.75549e-05
-0.97 -0.27 0.089876 7.00747e-05
-0.97 -0.26 0.0924762 7.25247e-05
-0.97 -0.25 0.0949764 7.49025e-05
-0.97 -0.24 0.0973766 7.72057e-05
-0.97 -0.23 0.0996769 7.94321e-05
-0.97 -0.22 0.101877 8.15796e-05
-0.97 -0.21 0.103977 8.3646e-05
-0.97 -0.2 0.105978 8.56294e-05
-0.97 -0.19 0.107878 8.75279e-05
-0.97 -0.18 0.109678 8.93395e-05
-0.97 -0.17 0.111378 9.10626e-05
-0.97 -0.16 0.112979 9.26954e-05
-0.97 -0.15 0.114479 9.42364e-05
-0.97 -0.14 0.115879 9.5684e-05
-0.97 -0.13 0.11718 9.7037e-05
-0.97 -0.12 0.11838 9.82939e-05
-0.97 -0.11 0.11948 9.94535e-05
-0.97 -0.1 0.12048 0.000100515
-0.97 -0.09 0.121381 0.000101477
-0.97 -0.08 0.122181 0.000102338
-0.97 -0.07 0.122881 0.000103099
-0.97 -0.06 0.123482 0.000103757
-0.97 -0.05 0.123982 0.000104313
-0.97 -0.04 0.124382 0.000104766
-0.97 -0.03 0.124683 0.000105116
-0.97 -0.02 0.124883 0.000105362
-0.97 -0.01 0.124983 0.000105503
-0.97 0 0.124984 0.000105541
-0.97 0.01 0.124884 0.000105475
-0.97 0.02 0.124684 0.000105304
-0.97 0.03 0.124384 0.00010503
-0.97 0.04 0.123985 0.000104652
-0.97 0.05 0.123485 0.00010417
-0.97 0.06 0.122885 0.000103586
-0.97 0.07 0.122186 0.0001029
-0.97 0.08 0.121386 0.000102113
-0.97 0.09 0.120486 0.000101225
-0.97 0.1 0.119487 0.000100237
-0.97 0.11 0.118387 9.91508e-05
-0.97 0.12 0.117187 9.79667e-05
-0.97 0.13 0.115887 9.66862e-05
-0.97 0.14 0.114488 9.53106e-05
-0.97 0.15 0.112988 9.38412e-05
-0.97 0.16 0.111388 9.22795e-05
-0.97 0.17 0.109689 9.06271e-05
-0.97 0.18 0.107889 8.88857e-05
-0.97 0.19 0.105989 8.70569e-05
-0.97 0.2 0.103989 8.51427e-05
-0.97 0.21 0.10189 8.31449e-05
-0.97 0.22 0.0996898 8.10655e-05
-0.97 0.23 0.0973901 7.89066e-05
-0.97 0.24 0.0949903 7.66704e-05
-0.97 0.25 0.0924905 7.43591e-05
-0.97 0.26 0.0898907 7.1975e-05
-0.97 0.27 0.0871909 6.95206e-05
-0.97 0.28 0.0843911 6.69982e-05
-0.97 0.29 0.0814913 6.44104e-05
-0.97 0.3 0.0784915 6.17598e-05
-0.97 0.31 0.0753917 5.9049e-05
-0.97 0.32 0.0721918 5.62808e-05
-0.97 0.33 0.068892 5.34578e-05
-0.97 0.34 0.0654921 5.0583e-05
-0.97 0.35 0.0619923 4.76592e-05
-0.97 0.36 0.0583924 4.46894e-05
-0.97 0.37 0.0546925 4.16764e-05
-0.97 0.38 0.0508926 3.86233e-05
-0.97 0.39 0.0469927 3.55332e-05
-0.97 0.4 0.0429928 3.24092e-05
-0.97 0.41 0.0388929 2.92543e-05
-0.97 0.42 0.034693 2.60717e-05
-0.97 0.43 0.030393 2.28646e-05
-0.97 0.44 0.0259931 1.96362e-05
-0.97 0.45 0.0214931 1.63898e-05
-0.97 0.46 0.0168932 1.31285e-05
-0.97 0.47 0.0121932 9.85557e-06
-0.97 0.48 0.00739321 6.57434e-06
-0.97 0.49 0.00249321 3.28806e-06

-0.96 -0.5 0.00246995 -0
-0.96 -0.49 0.00736997 3.33881e-06
-0.96 -0.48 0.01217 6.67287e-06
-0.96 -0.47 0.01687 9.99891e-06
-0.96 -0.46 0.0214701 1.33137e-05
-0.96 -0.45 0.0259702 1.66139e-05
-0.96 -0.44 0.0303703 1.98965e-05
-0.96 -0.43 0.0346704 2.3158e-05
-0.96 -0.42 0.0388705 2.63955e-05
-0.96 -0.41 0.0429706 2.96057e-05
-0.96 -0.4 0.0469707 3.27854e-05
-0.96 -0.39 0.0508709 3.59316e-05
-0.96 -0.38 0.054671 3.90412e-05
-0.96 -0.37 0.0583712 4.21112e-05
